z,district,schoolid,sd10a_base,sd10b_base,sd10c_base,sd10d_base,sd10e_base,sd10f_base,sd10g_base,sd10h_base,z_ses_indonesian_base,z_ses_math_base,z_ses_natscience_base,z_ses_socscience_base,girl,quiet_study,z_effort_base,z_belonging_base,z_selfesteem_base,z_perfgoal_base,z_perseverance_base,z_growthm_base,z_learngoal_base,urban,teach_growthm_base,teach_fail_enhance_base,teach_self_efficacy_base,z_nes_school_mean_base
1,1,100010,1,0,1,1,1,1,0,0,0.532040712338501,0.23448925107968377,0.06576851268690988,-0.6171119342354635,1,-0.34438868010088847,-0.1394685523859095,-0.7881690189128256,-2.377261090639678,-0.32142841774100983,-1.876234041317348,-0.5550921407991884,-2.3103381630287263,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,0,1,1,0,0,0,0.011463435556489342,0.9649738175215269,0.06576851268690988,-0.6171119342354635,1,-0.34438868010088847,-0.6134374161821927,1.3412755908203413,1.4697468953432644,1.1852267809584516,0.5733572559894649,-1.4731455308373649,0.5672750099534821,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,0,0,1,1,1,1,-0.5091138564277602,0.9649738175215269,-0.09515291552492071,-0.6171119342354635,0,2.4062751236997517,-0.1394685523859095,-4.337242238690865,-0.06905630953004825,-1.8280834967143296,-0.24317317146620673,-0.24907429477304216,-1.159292774143658,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,0,0,1,1,0,1,-0.5091138564277602,0.23448925107968377,-0.09515291552492071,-0.6171119342354635,0,-0.34438868010088847,-0.6134374161821927,-2.9176131444557476,-2.377261090639678,-1.0747560769538114,-1.0597035690422825,0.056943514243038514,-1.7348156481244692,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,1,1,1,0,1,0,0.011463435556489342,0.9649738175215269,0.22668994820690505,-0.268921825516625,1,-0.34438868010088847,0.33450001232535714,-0.43326150325892365,1.4697468953432644,0.8085628914889799,0.9816224921269976,0.056943514243038514,-0.5837701395472165,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,1,1,1,1,0,0,-0.3355880949667166,0.23448925107968377,0.22668994820690505,-0.44301687987604427,0,-0.34438868010088847,-0.1394685523859095,-0.7881690189128256,1.0850461446541622,-0.6980920677581981,1.3898877282645303,-0.8611099572172822,-0.5837701395472165,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,0,1,1,0,0,0,0.532040712338501,0.5266830665569303,0.22668994820690505,-0.268921825516625,1,-0.34438868010088847,-0.6134374161821927,-0.7881690189128256,0.7003453340785698,0.8085628914889799,0.16509204973152805,0.056943514243038514,-0.5837701395472165,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,0,1,1,1,0,0,0.011463435556489342,0.23448925107968377,0.709454247458726,-0.268921825516625,1,-0.34438868010088847,-1.0874059958477102,-1.1430759898527019,-0.4537571275914517,-0.32142841774100983,0.9816224921269976,0.36296133806314546,-0.00824715896555335,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,1,1,1,0,0,0,-0.6826396178888037,0.5266830665569303,-0.09515291552492071,-0.6171119342354635,0,-0.34438868010088847,-1.5613745156962244,-1.4979835660303844,-1.2231587187993913,-1.0747560769538114,-1.876234041317348,-0.24907429477304216,0.5672750099534821,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,0,0,1,1,0,0,0.011463435556489342,0.9649738175215269,0.06576851268690988,-0.44301687987604427,1,-0.34438868010088847,-0.6134374161821927,-1.8528910211605059,-0.06905630953004825,0.8085628914889799,-1.0597035690422825,0.36296133806314546,-1.159292774143658,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,1,1,1,0,0,1,0.011463435556489342,1.1110706975114233,0.22668994820690505,-0.268921825516625,1,-0.34438868010088847,-0.6134374161821927,-0.7881690189128256,-0.4537571275914517,0.055235262207713756,-1.0597035690422825,-0.5550921407991884,-0.5837701395472165,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
1,1,100010,1,0,0,0,1,1,0,0,0.532040712338501,0.23448925107968377,0.22668994820690505,-0.094826756446398,1,-0.34438868010088847,-0.1394685523859095,-0.43326150325892365,-2.377261090639678,1.1852267809584516,1.3898877282645303,-0.8611099572172822,-0.5837701395472165,0,-0.3652769553185996,-0.18990148943449728,0.8064443237012843,-1.352828608110587
0,1,100016,1,1,1,1,1,1,1,1,-0.6826396178888037,-0.3498984076235361,-0.2560743510449158,-1.1393972150001832,1,-0.34438868010088847,-0.6134374161821927,-0.7881690189128256,-1.9925603399505756,-2.2047470868684464,0.9816224921269976,1.2810148169254794,-0.00824715896555335,1,0.36427487362830135,0.08360486266253755,-0.1801717878218663,-0.41096040613363066
0,1,100016,1,0,0,1,1,1,0,0,0.011463435556489342,1.4032645684861236,-0.4169957792567464,-0.44301687987604427,1,-0.34438868010088847,-0.6134374161821927,-0.43326150325892365,0.7003453340785698,-0.6980920677581981,-0.6514383926639415,-0.24907429477304216,-1.7348156481244692,1,0.36427487362830135,0.08360486266253755,-0.1801717878218663,-0.41096040613363066
